College,Branch,Rank
TVE,CS,481
TVE,ECE,713
TCR,CS,784
TKM,CS,1269
TCR,ECE,1624
TVE,EEE,1659
MAC,CS,1686
KTE,CS,2019
PKD,CS,2396
TVE,ME,2473
KNR,CS,2493
NSS,CS,2507
TKM,ECE,2799
TVE,AEI,2987
TVE,CE,3113
TRV,ECE,3540
TCR,EEE,3611
TCR,CHE,3886
IDK,ECE,4621
MAC,ECE,4622
KTE,ECE,4721
TKM,EEE,4817
TCR,ME,5109
TKM,CE,5485
TKM,CHE,5652
TCR,CE,6106
NSS,ECE,6257
KKE,CHE,6316
KNR,ECE,6958
TRV,IT,7159
TRV,CE,7442
KKE,ECE,7454
PKD,ECE,7455
TVE,IE,7532
TKM,ME,7572
TRV,EEE,7660
KTE,EEE,8045
MAC,EEE,8309
IDK,CS,8514
NSS,EEE,8742
PKD,EEE,8780
KNR,EEE,8812
KTE,CE,8823
TRV,ME,8843
KKE,CE,8860
MAC,CE,8912
PKD,CE,8929
NSS,CE,8936
WYD,CS,8941
KNR,CE,8942
IDK,EEE,10007
WYD,ECE,10105
PKD,IT,10288
KTE,ME,11020
KKE,AEI,12326
IDK,IT,12407
IDK,ME,12424
MAC,ME,13162
KNR,ME,13178
PKD,ME,13346
KKE,ME,13354
NSS,ME,13370
TCR,PE,14492
WYD,EEE,15124
NSS,ICE,16019
WYD,ME,17454
