College,Branch,Rank
KKE,AEI,12326
TVE,AEI,2987
KCT,AGR,5688
NSS,ICE,16019
TVE,IE,7532
TCR,PE,14492
KKE,CE,8860
KNR,CE,8942
KTE,CE,8823
MAC,CE,8912
NSS,CE,8936
PKD,CE,8929
TCR,CE,6106
TKM,CE,5485
TRV,CE,7442
TVE,CE,3113
IDK,CS,8514
KNR,CS,2493
KTE,CS,2019
MAC,CS,1686
NSS,CS,2507
PKD,CS,2396
TCR,CS,784
TKM,CS,1269
TVE,CS,481
WYD,CS,8941
IDK,ECE,4621
KKE,ECE,7454
KNR,ECE,6958
KTE,ECE,4721
MAC,ECE,4622
NSS,ECE,6257
PKD,ECE,7455
TCR,ECE,1624
TKM,ECE,2799
TRV,ECE,3540
TVE,ECE,713
WYD,ECE,10105
IDK,EEE,10007
KNR,EEE,8812
KTE,EEE,8045
MAC,EEE,8309
NSS,EEE,8742
PKD,EEE,8780
TCR,EEE,3611
TKM,EEE,4817
TRV,EEE,7660
TVE,EEE,1659
WYD,EEE,15124
IDK,IT,12407
PKD,IT,10288
TRV,IT,7159
IDK,ME,12424
KKE,ME,13354
KNR,ME,13178
KTE,ME,11020
MAC,ME,13162
NSS,ME,13370
PKD,ME,13346
TCR,ME,5109
TKM,ME,7572
TRV,ME,8843
TVE,ME,2473
WYD,ME,17454
KKE,CHE,6316
TCR,CHE,3886
TKM,CHE,5652
